Alpine function Stacionary GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
8,2842.98,390,7,2.70,9.20,9,10
9,4246.65,211,7,3.07,5.90,8,10
10,2847.44,229,6,3.17,8.97,8,10
11,2832.20,68,6,2.23,6.20,8,10
12,4231.51,277,1,2.89,8.65,8,10
13,4182.49,96,7,2.54,10.22,4,10
14,2817.86,340,2,2.50,8.72,4,10
15,2848.27,85,8,2.80,5.31,9,10
16,4227.78,195,7,3.35,8.40,4,10
17,4231.68,354,7,2.29,7.83,7,10
18,4264.29,355,2,2.65,9.48,2,10
19,4269.60,356,5,1.55,7.52,1,10
20,2815.34,155,4,3.09,9.33,8,10
1,4213.68,219,7,2.39,5.51,9,30
2,4246.48,474,7,2.36,8.98,1,30
3,4233.82,261,8,2.78,10.49,6,30
4,4245.47,5,7,2.28,9.36,8,30
5,4211.46,420,3,2.47,7.05,2,30
6,2812.04,491,3,3.24,7.07,8,30
7,4234.67,256,6,2.20,10.44,6,30
8,4236.53,278,3,2.47,5.91,3,30
9,2822.23,100,8,2.93,6.36,4,30
10,2812.24,49,1,2.74,8.56,0,30
11,2837.02,232,5,2.40,5.12,6,30
12,2824.98,225,3,3.14,6.39,0,30
13,2844.35,176,3,2.22,8.55,9,30
14,2837.66,341,2,3.32,10.17,4,30
15,4223.36,369,0,2.66,5.35,8,30
16,2851.74,434,7,2.49,8.55,6,30
17,4228.45,249,4,2.56,10.76,8,30
18,4279.10,365,6,1.80,9.48,2,30
19,4231.89,109,5,2.31,7.63,7,30
20,2804.21,425,8,2.08,7.54,3,30
Sum Squares function Generational GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,3847.39,374,7,104.76,912.28,1,10
2,3637.17,173,7,87.07,1349.17,8,10
3,2266.60,254,3,81.45,931.75,5,10
4,2296.31,59,7,77.15,452.17,9,10
5,3402.40,123,3,39.42,1143.50,4,10
6,2264.15,251,0,54.85,373.76,4,10
7,3422.35,199,6,24.75,507.00,1,10
8,3386.59,493,0,38.42,694.24,8,10
9,2275.09,302,5,66.86,1302.88,1,10
10,2261.55,400,5,53.12,693.60,6,10
11,2268.00,202,2,48.87,384.92,7,10
12,3390.46,331,6,102.03,582.40,5,10
13,3396.01,490,3,65.21,914.15,5,10
14,2270.90,498,6,27.93,405.73,8,10
15,3397.27,321,7,27.97,1083.75,3,10
16,2296.30,343,8,72.30,1031.20,0,10
17,3427.81,75,5,41.13,700.99,0,10
18,3393.88,468,4,74.45,1206.67,8,10
19,2275.64,89,4,70.72,1077.94,6,10
20,2273.73,196,7,42.07,695.32,1,10
1,2299.07,348,8,61.92,1274.54,0,30
2,2263.50,491,6,96.45,1095.36,0,30
3,3423.47,410,5,16.27,474.61,3,30
4,3398.73,270,7,88.74,432.05,2,30
5,3394.41,111,8,55.90,430.35,5,30
6,3393.35,115,8,39.30,212.12,4,30
7,3423.95,153,0,94.24,1187.46,4,30
8,3380.40,172,5,6.88,666.63,4,30
9,2266.16,124,5,24.49,752.26,5,30
10,3436.63,215,3,69.10,166.68,4,30
11,3416.16,219,0,24.58,1030.94,7,30
12,3414.82,9,0,23.27,724.71,8,30
13,2287.00,256,3,75.28,765.14,5,30
14,3425.76,378,5,52.77,700.63,7,30
15,3397.95,230,3,75.99,900.12,5,30
16,2275.30,291,7,31.34,581.91,5,30
17,3404.67,466,8,15.90,656.33,4,30
18,2303.91,15,5,20.90,1354.50,8,30
19,3421.82,272,5,93.85,502.72,5,30
20,2280.38,14,6,4.78,867.56,8,30
